ciclo,desc_ai,desc_capitulo,desc_concepto,desc_ff,desc_funcion,desc_gpo_funcional,desc_modalidad,desc_partida_especifica,desc_partida_generica,desc_pp,desc_ramo,desc_subfuncion,desc_tipogasto,desc_ur,entidad_federativa,gpo_funcional,id_ai,id_capitulo,id_clave_cartera,id_concepto,id_entidad_federativa,id_ff,id_funcion,id_modalidad,id_partida_especifica,id_partida_generica,id_pp,id_ramo,id_subfuncion,id_tipogasto,id_ur,monto_adefas,monto_aprobado,monto_devengado,monto_ejercicio,monto_ejercido,monto_modificado,monto_pagado
2017,Producción y Protección Forestal,,Gastos para operativos y trabajos de campo en áreas rurales,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Sujetos a Reglas de Operación,,,Programa de Empleo Temporal (PET),Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional Forestal,Colima,3,4,,00000000000,37901,6,1,2,S,,,71,16,2,7,RHQ,0.00,0.00,2000.00,2000.00,,2000.00,2000.00
2017,Cobertura de la atención médica preventiva,,Cuotas para el seguro de vida del personal civil,Recursos fiscales,Salud,Desarrollo Social,Prestación de Servicios Públicos,,,Prevención y Control de Enfermedades,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Yucatán,2,3,,00000000000,14401,31,1,3,E,,,43,51,2,1,GYN,0.00,90606.00,0.00,0.00,,0.00,0.00
2017,Manejo eficiente y sustentable del agua y prevención de inundaciones,,Pasajes terrestres internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,Regulación y supervisión,,,Gestión integral y sustentable del agua,Medio Ambiente y Recursos Naturales,Abastecimiento de Agua,Gasto corriente,Comisión Nacional del Agua,Ciudad de México,2,3,,00000000000,37206,9,1,2,G,,,10,16,3,1,B00,0.00,99000.00,0.00,0.00,,0.00,0.00
2017,"Comercialización de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo,Ingresos Propios,Combustibles y Energía,Desarrollo Económico,Prestación de Servicios Públicos,,,"Comercialización de petróleo, gas, petrolíferos y petroquímicos",Petróleos Mexicanos,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Pemex Consolidado,Puebla,3,228,,00000000000,15401,21,4,3,E,,,11,52,2,1,TYY,0.00,1994640.00,691465.00,691465.00,,691467.00,691465.00
2017,Promoción de la salud y prevención y control de enfermedades fortalecidas e integradas sectorial e intersectorialmente,,Subsidios a Entidades Federativas y Municipios,Recursos fiscales,Salud,Desarrollo Social,Otros Subsidios,,,"Prevención y Control de Sobrepeso, Obesidad y Diabetes",Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,Dirección General de Promoción de la Salud,Guanajuato,2,15,,00000000000,43801,11,1,3,U,,,8,12,1,1,310,0.00,0.00,7870295.69,7870295.69,,7870295.69,7870295.69
2017,Apoyo a adultos mayores en pobreza,,Subsidios a la producción,Recursos fiscales,Protección Social,Desarrollo Social,Sujetos a Reglas de Operación,,,Pensión para Adultos Mayores,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Delegación SEDESOL en el Distrito Federal,Ciudad de México,2,9,,00000000000,43101,9,1,6,S,,,176,20,8,1,129,0.00,21072.00,655043.43,655043.43,,655043.43,655043.43
2017,Ferrocarriles eficientes y competitivos,,Pasajes aéreos nacionales para labores en campo y de supervisión,Recursos fiscales,Transporte,Desarrollo Económico,Regulación y supervisión,,,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Ferrocarril,Gasto corriente,Centro SCT Coahuila,Coahuila,3,6,,00000000000,37101,5,1,5,G,,,2,9,3,1,625,0.00,15040.00,0.00,0.00,,0.00,0.00
2017,"Democracia preservada y fortalecida mediante la organización de elecciones nacionales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Aportaciones al ISSSTE,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Específicos,,,Organización electoral nacional,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,Hidalgo,1,1,,00000000000,14101,13,1,3,R,,,2,22,6,1,200,0.00,27313.00,28292.81,28292.81,,28292.81,28292.81
2017,"Sistema financiero competitivo, eficiente y con mayor cobertura",,Servicios bancarios y financieros,Recursos fiscales,Asuntos Financieros y Hacendarios,Gobierno,Regulación y supervisión,,,Regulación del sector financiero,Hacienda y Crédito Público,Asuntos Financieros,Gasto corriente,Unidad de Banca de Desarrollo,Ciudad de México,1,7,,00000000000,34101,9,1,5,G,,,1,6,1,1,212,0.00,0.00,70614.34,70614.34,,70614.34,70614.34
2017,Otros Servicios de Salud,,Compensaciones por servicios eventuales,Recursos fiscales,Salud,Desarrollo Social,Prestación de Servicios Públicos,,,Suministro de Claves de Medicamentos,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Durango,2,5,,00000000000,13404,10,1,3,E,,,18,51,2,1,GYN,0.00,5457.00,0.00,0.00,,0.00,0.00
